Ano;Município;Código do Município;Vínculo Funcional;Federal;Estadual;Municipal
2022;Água Doce do Norte ;3200169;Contrato Temporário;0;49;52
2022;Águia Branca ;3200136;Contrato Temporário;0;56;106
2022;Alegre ;3200201;Contrato Temporário;5;153;63
2022;Alfredo Chaves ;3200300;Contrato Temporário;0;29;77
2022;Alto Rio Novo ;3200359;Contrato Temporário;0;27;32
2022;Anchieta ;3200409;Contrato Temporário;0;45;276
2022;Apiacá ;3200508;Contrato Temporário;0;22;9
2022;Aracruz ;3200607;Contrato Temporário;12;185;329
2022;Atílio Vivácqua ;3200706;Contrato Temporário;0;33;71
2022;Baixo Guandu ;3200805;Contrato Temporário;0;55;158
2022;Barra de São Francisco ;3200904;Contrato Temporário;3;162;233
2022;Boa Esperança ;3201001;Contrato Temporário;0;67;113
2022;Bom Jesus do Norte ;3201100;Contrato Temporário;0;16;23
2022;Brejetuba ;3201159;Contrato Temporário;0;98;63
2022;Cachoeiro de Itapemirim ;3201209;Contrato Temporário;7;498;820
2022;Cariacica ;3201308;Contrato Temporário;8;784;1228
2022;Castelo ;3201407;Contrato Temporário;0;49;218
2022;Colatina ;3201506;Contrato Temporário;18;215;367
2022;Conceição da Barra ;3201605;Contrato Temporário;0;108;188
2022;Conceição do Castelo ;3201704;Contrato Temporário;0;51;80
2022;Divino de São Lourenço ;3201803;Contrato Temporário;0;23;31
2022;Domingos Martins ;3201902;Contrato Temporário;0;69;292
2022;Dores do Rio Preto ;3202009;Contrato Temporário;0;38;38
2022;Ecoporanga ;3202108;Contrato Temporário;0;125;41
2022;Fundão ;3202207;Contrato Temporário;0;37;89
2022;Governador Lindenberg ;3202256;Contrato Temporário;0;66;50
2022;Guaçuí ;3202306;Contrato Temporário;0;48;176
2022;Guarapari ;3202405;Contrato Temporário;9;178;450
2022;Ibatiba ;3202454;Contrato Temporário;4;30;107
2022;Ibiraçu ;3202504;Contrato Temporário;0;43;29
2022;Ibitirama ;3202553;Contrato Temporário;0;49;61
2022;Iconha ;3202603;Contrato Temporário;0;31;78
2022;Irupi ;3202652;Contrato Temporário;0;34;32
2022;Itaguaçu ;3202702;Contrato Temporário;0;42;110
2022;Itapemirim ;3202801;Contrato Temporário;0;81;432
2022;Itarana ;3202900;Contrato Temporário;0;36;65
2022;Iúna ;3203007;Contrato Temporário;0;87;162
2022;Jaguaré ;3203056;Contrato Temporário;0;53;179
2022;Jerônimo Monteiro ;3203106;Contrato Temporário;0;38;51
2022;João Neiva ;3203130;Contrato Temporário;0;62;47
2022;Laranja da Terra ;3203163;Contrato Temporário;0;44;53
2022;Linhares ;3203205;Contrato Temporário;2;359;354
2022;Mantenópolis ;3203304;Contrato Temporário;0;45;22
2022;Marataízes ;3203320;Contrato Temporário;0;46;273
2022;Marechal Floriano ;3203346;Contrato Temporário;0;33;132
2022;Marilândia ;3203353;Contrato Temporário;0;34;81
2022;Mimoso do Sul ;3203403;Contrato Temporário;0;71;89
2022;Montanha ;3203502;Contrato Temporário;7;64;165
2022;Mucurici ;3203601;Contrato Temporário;0;27;47
2022;Muniz Freire ;3203700;Contrato Temporário;0;64;133
2022;Muqui ;3203809;Contrato Temporário;0;54;52
2022;Nova Venécia ;3203908;Contrato Temporário;9;103;428
2022;Pancas ;3204005;Contrato Temporário;0;58;87
2022;Pedro Canário ;3204054;Contrato Temporário;0;97;102
2022;Pinheiros ;3204104;Contrato Temporário;0;74;77
2022;Piúma ;3204203;Contrato Temporário;7;23;145
2022;Ponto Belo ;3204252;Contrato Temporário;0;36;37
2022;Presidente Kennedy ;3204302;Contrato Temporário;0;23;252
2022;Rio Bananal ;3204351;Contrato Temporário;0;27;155
2022;Rio Novo do Sul ;3204401;Contrato Temporário;0;41;49
2022;Santa Leopoldina ;3204500;Contrato Temporário;0;37;67
2022;Santa Maria de Jetibá ;3204559;Contrato Temporário;0;195;228
2022;Santa Teresa ;3204609;Contrato Temporário;2;56;175
2022;São Domingos do Norte ;3204658;Contrato Temporário;0;28;97
2022;São Gabriel da Palha ;3204708;Contrato Temporário;0;91;110
2022;São José do Calçado ;3204807;Contrato Temporário;0;22;81
2022;São Mateus ;3204906;Contrato Temporário;10;269;511
2022;São Roque do Canaã ;3204955;Contrato Temporário;0;55;30
2022;Serra ;3205002;Contrato Temporário;5;1209;2174
2022;Sooretama ;3205010;Contrato Temporário;0;58;264
2022;Vargem Alta ;3205036;Contrato Temporário;0;60;95
2022;Venda Nova do Imigrante ;3205069;Contrato Temporário;9;74;99
2022;Viana ;3205101;Contrato Temporário;1;167;524
2022;Vila Pavão ;3205150;Contrato Temporário;0;34;55
2022;Vila Valério ;3205176;Contrato Temporário;0;55;81
2022;Vila Velha ;3205200;Contrato Temporário;5;688;839
2022;Vitória ;3205309;Contrato Temporário;2;407;932
2022;Afonso Cláudio ;3200102;Contrato terceirizado;0;1;0
2022;Água Doce do Norte ;3200169;Contrato terceirizado;0;0;0
2022;Águia Branca ;3200136;Contrato terceirizado;0;0;0
2022;Alegre ;3200201;Contrato terceirizado;0;0;0
2022;Alfredo Chaves ;3200300;Contrato terceirizado;0;0;0
2022;Alto Rio Novo ;3200359;Contrato terceirizado;0;0;0
2022;Anchieta ;3200409;Contrato terceirizado;0;0;0
2022;Apiacá ;3200508;Contrato terceirizado;0;0;0
2022;Aracruz ;3200607;Contrato terceirizado;0;0;4
2022;Atílio Vivácqua ;3200706;Contrato terceirizado;0;0;0
2022;Baixo Guandu ;3200805;Contrato terceirizado;0;0;0
2022;Barra de São Francisco ;3200904;Contrato terceirizado;0;0;0
2022;Boa Esperança ;3201001;Contrato terceirizado;0;0;0
2022;Bom Jesus do Norte ;3201100;Contrato terceirizado;0;0;0
2022;Brejetuba ;3201159;Contrato terceirizado;0;0;0
2022;Cachoeiro de Itapemirim ;3201209;Contrato terceirizado;0;0;10
2022;Cariacica ;3201308;Contrato terceirizado;0;0;13
2022;Castelo ;3201407;Contrato terceirizado;0;0;0
2022;Colatina ;3201506;Contrato terceirizado;0;0;2
2022;Conceição da Barra ;3201605;Contrato terceirizado;0;0;0
2022;Conceição do Castelo ;3201704;Contrato terceirizado;0;0;0
2022;Divino de São Lourenço ;3201803;Contrato terceirizado;0;0;0
2022;Domingos Martins ;3201902;Contrato terceirizado;0;0;4
2022;Dores do Rio Preto ;3202009;Contrato terceirizado;0;0;0
